id,data,command,desc,user
463456492,2023-07-15,/admin,commands,Олег
463456492,2023-06-29,/expo,commands,Олег
463456492,2023-06-29,/stat,commands,Олег
463456492,2023-06-29,/expo,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,Меню,sityname,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,Лугины,sityname,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,Червона волокп,sityname,Олег
463456492,2023-06-04,Червона волока,sityname,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
911344789,2023-06-05,/start,commands,
911344789,2023-06-05,/start,commands,
911344789,2023-06-05,/help,commands,
911344789,2023-06-05,Коростень,sityname,
911344789,2023-06-05,/help,commands,
423186495,2023-06-05,Коростень,sityname,
722083887,2023-06-05,Коростень,sityname,
5353848794,2023-06-05,/start,commands,
5353848794,2023-06-05,Жеревці,sityname,
5353848794,2023-06-05,КОРОСТЕНЬ,sityname,
5353848794,2023-06-05,Літомишель,sityname,
5353848794,2023-06-05,Літомшль,sityname,
5353848794,2023-06-05,Кривий Ріг,sityname,
5353848794,2023-06-05,Брно,sityname,
5353848794,2023-06-05,Литомышль,sityname,
5353848794,2023-06-05,Литомшль,sityname,
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,коростень,sityname,Олег
894976263,2023-06-05,Коростень,sityname,
894976263,2023-06-05,Коростень,sityname,
463456492,2023-06-05,севастополь,sityname,Олег
894976263,2023-06-05,Коростень,sityname,
463456492,2023-06-05,/help,commands,Олег
463456492,2023-06-05,Москва,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,Минск,sityname,Олег
463456492,2023-06-05,ровно,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,/help,commands,Олег
463456492,2023-06-05,торонто,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Минск,sityname,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,ровно,sityname,Олег
463456492,2023-06-05,хуст,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,червона волока,sityname,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-06,/start,commands,Олег
463456492,2023-06-06,Жеревци,sityname,Олег
463456492,2023-06-06,Коростень,sityname,Олег
1971463592,2023-06-12,/start,commands,
1971463592,2023-06-12,/help,commands,
1971463592,2023-06-12,Korosten,sityname,
463456492,2023-06-12,/stat,commands,Олег
463456492,2023-06-12,/statx,commands,Олег
463456492,2023-06-12,/save,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,Меню,sityname,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,/help,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,Лугины,sityname,Олег
463456492,2023-06-04,/start,commands,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-04,Червона волокп,sityname,Олег
463456492,2023-06-04,Червона волока,sityname,Олег
463456492,2023-06-04,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
911344789,2023-06-05,/start,commands,
911344789,2023-06-05,/start,commands,
911344789,2023-06-05,/help,commands,
911344789,2023-06-05,Коростень,sityname,
911344789,2023-06-05,/help,commands,
423186495,2023-06-05,Коростень,sityname,
722083887,2023-06-05,Коростень,sityname,
5353848794,2023-06-05,/start,commands,
5353848794,2023-06-05,Жеревці,sityname,
5353848794,2023-06-05,КОРОСТЕНЬ,sityname,
5353848794,2023-06-05,Літомишель,sityname,
5353848794,2023-06-05,Літомшль,sityname,
5353848794,2023-06-05,Кривий Ріг,sityname,
5353848794,2023-06-05,Брно,sityname,
5353848794,2023-06-05,Литомышль,sityname,
5353848794,2023-06-05,Литомшль,sityname,
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,коростень,sityname,Олег
894976263,2023-06-05,Коростень,sityname,
894976263,2023-06-05,Коростень,sityname,
463456492,2023-06-05,севастополь,sityname,Олег
894976263,2023-06-05,Коростень,sityname,
463456492,2023-06-05,/help,commands,Олег
463456492,2023-06-05,Москва,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,Минск,sityname,Олег
463456492,2023-06-05,ровно,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,/help,commands,Олег
463456492,2023-06-05,торонто,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,/start,commands,Олег
463456492,2023-06-05,Минск,sityname,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,ровно,sityname,Олег
463456492,2023-06-05,хуст,sityname,Олег
463456492,2023-06-05,минск,sityname,Олег
463456492,2023-06-05,червона волока,sityname,Олег
463456492,2023-06-05,Коростень,sityname,Олег
463456492,2023-06-06,/start,commands,Олег
463456492,2023-06-06,Жеревци,sityname,Олег
463456492,2023-06-06,Коростень,sityname,Олег
1971463592,2023-06-12,/start,commands,
1971463592,2023-06-12,/help,commands,
1971463592,2023-06-12,Korosten,sityname,
463456492,2023-06-12,/stat,commands,Олег
463456492,2023-06-12,/statx,commands,Олег
463456492,2023-06-12,/save,commands,Олег
463456492,2023-06-12,korosten,sityname,Олег
463456492,2023-06-13,/start,commands,Олег
463456492,2023-06-13,Коростень,sityname,Олег
463456492,2023-06-13,/stat,commands,Олег
463456492,2023-06-13,Червона волока,sityname,Олег
463456492,2023-06-13,Київ,sityname,Олег
463456492,2023-06-13,Киев,sityname,Олег
463456492,2023-06-13,Коростень,sityname,Олег
463456492,2023-06-13,/stat,commands,Олег
463456492,2023-06-14,Коростень,sityname,Олег
463456492,2023-06-14,Коростень,sityname,Олег
463456492,2023-06-14,/stat,commands,Олег
165841336,2023-06-14,/start,commands,
165841336,2023-06-14,шлиссельбург,sityname,
165841336,2023-06-14,прикильно.,sityname,
470800121,2023-06-14,/start,commands,
470800121,2023-06-14,Коростень,sityname,
470800121,2023-06-14,/start,commands,
470800121,2023-06-14,Поліське,sityname,
463456492,2023-06-14,/stat,commands,Олег
463456492,2023-06-14,жеревци,sityname,Олег
463456492,2023-06-14,жеревці,sityname,Олег
463456492,2023-06-14,київ,sityname,Олег
521488511,2023-06-14,/start,commands,
521488511,2023-06-14,Коростень,sityname,
521488511,2023-06-14,Мукачево,sityname,
463456492,2023-06-14,/stat,commands,Олег
463456492,2023-06-14,/statx,commands,Олег
1024222210,2023-06-15,/start,commands,
1024222210,2023-06-15,Чернівці,sityname,
463456492,2023-06-15,/statx,commands,Олег
540239018,2023-06-15,/start,commands,
540239018,2023-06-15,коростень,sityname,
911344789,2023-06-15,Коростень,sityname,
463456492,2023-06-15,/stat,commands,Олег
463456492,2023-06-15,Коростень,sityname,Олег
463456492,2023-06-15,/stat,commands,Олег
463456492,2023-06-15,/stat,commands,Олег
463456492,2023-06-15,korosten,sityname,Олег
463456492,2023-06-15,Коростень,sityname,Олег
463456492,2023-06-15,/statx,commands,Олег
463456492,2023-06-16,Коростень,sityname,Олег
463456492,2023-06-16,/stat,commands,Олег
463456492,2023-06-16,/start,commands,Олег
463456492,2023-06-16,Коростень,sityname,Олег
463456492,2023-06-16,/start,commands,Олег
463456492,2023-06-16,Коростень,sityname,Олег
463456492,2023-06-16,/stat,commands,Олег
463456492,2023-06-17,/start,commands,Олег
463456492,2023-06-17,/save,commands,Олег
463456492,2023-06-28,Коростень,sityname,Олег
463456492,2023-06-28,/start,commands,Олег
463456492,2023-06-28,коростень,sityname,Олег
463456492,2023-06-28,london,sityname,Олег
463456492,2023-06-28,London,sityname,Олег
463456492,2023-06-28,"Korosten, ua",sityname,Олег
463456492,2023-06-28,"Korosten,ua",sityname,Олег
463456492,2023-06-28,/start,commands,Олег
463456492,2023-06-28,korosten,sityname,Олег
463456492,2023-06-28,/start,commands,Олег
463456492,2023-06-28,Коростень,sityname,Олег
463456492,2023-06-28,/save,commands,Олег
463456492,2023-06-29,/stat,commands,Олег
463456492,2023-06-29,/statn,commands,Олег
463456492,2023-06-29,/statx,commands,Олег
463456492,2023-06-29,Коростень,sityname,Олег
463456492,2023-06-29,/stat,commands,Олег
463456492,2023-06-29,/statx,commands,Олег
463456492,2023-06-29,/statn,commands,Олег
463456492,2023-06-29,/stat,commands,Олег
463456492,2023-06-29,коростень,sityname,Олег
463456492,2023-06-29,/stat,commands,Олег
463456492,2023-06-29,/start,commands,Олег
463456492,2023-06-29,/start,commands,Олег
463456492,2023-06-29,Oleg,sityname,Олег
463456492,2023-06-29,/start,commands,Олег
463456492,2023-06-30,/start,commands,Олег
463456492,2023-06-30,Коростень,sityname,Олег
463456492,2023-06-30,/stat,commands,Олег
463456492,2023-06-30,/stat,commands,Олег
463456492,2023-06-30,korosten,sityname,Олег
463456492,2023-06-30,/stat,commands,Олег
463456492,2023-07-01,korosten,sityname,Олег
463456492,2023-07-01,коростень,sityname,Олег
521488511,2023-07-01,Коростень,sityname,Ирина
463456492,2023-07-01,/stat,commands,Олег
463456492,2023-07-01,/statn,commands,Олег
463456492,2023-07-01,/statx,commands,Олег
463456492,2023-07-01,коростень,sityname,Олег
463456492,2023-07-01,/start,commands,Олег
463456492,2023-07-01,/start,commands,Олег
463456492,2023-07-02,коростень,sityname,Олег
463456492,2023-07-02,/statn,commands,Олег
463456492,2023-07-02,/start,commands,Олег
463456492,2023-07-02,/start,commands,Олег
463456492,2023-07-02,/start,commands,Олег
521488511,2023-07-02,Коростень,sityname,Ирина
463456492,2023-07-02,коростень,sityname,Олег
463456492,2023-07-02,/statn,commands,Олег
463456492,2023-07-02,/statn,commands,Олег
463456492,2023-07-02,korosten,sityname,Олег
463456492,2023-07-02,/statn,commands,Олег
463456492,2023-07-03,korosten,sityname,Олег
911344789,2023-07-03,коростень,sityname,77367
521488511,2023-07-03,Коростень,sityname,Ирина
463456492,2023-07-04,korosten,sityname,Олег
463456492,2023-07-04,/statn,commands,Олег
463456492,2023-07-04,/statx,commands,Олег
463456492,2023-07-05,Коростень,sityname,Олег
463456492,2023-07-05,/statn,commands,Олег
463456492,2023-07-05,/statn,commands,Олег
463456492,2023-07-05,коростень,sityname,Олег
463456492,2023-07-06,Коростень,sityname,Олег
463456492,2023-07-06,/statn,commands,Олег
